tconst,ordering,nconst,category,job,characters
tt9024106,3,nm0478750,actress,\N,"[""Cheryl""]"
tt9024106,4,nm5237225,actor,\N,"[""Shawn""]"
tt9024106,5,nm5652970,actress,\N,"[""Marilisa""]"
tt9024106,6,nm1496309,actress,\N,"[""Kathleen""]"
tt9024106,7,nm5081373,actor,\N,"[""Mike""]"
tt9024106,8,nm2811187,actress,\N,"[""Renee""]"
tt9024106,9,nm2728587,actress,\N,"[""Elena""]"
tt9024106,10,nm6853305,actress,\N,"[""Megan""]"
tt9024106,11,nm0465484,director,\N,\N
tt9024106,12,nm0813301,director,\N,\N
tt9024106,13,nm7432792,writer,"based on the book ""Unplanned"" by",\N
tt9024106,14,nm0465484,writer,screenplay by,\N
tt9024106,15,nm0813301,writer,screenplay by,\N
tt9024106,16,nm2445956,producer,producer,\N
tt9024106,17,nm7839151,producer,producer,\N
tt9024106,18,nm0465484,producer,executive producer,\N
tt9024106,19,nm0498920,producer,executive producer,\N
tt9024106,20,nm10661360,composer,\N,\N
tt9024106,21,nm3422120,cinematographer,director of photography,\N
tt9024106,22,nm7968007,editor,\N,\N
tt9024106,23,nm0933245,editor,\N,\N
tt9024106,24,nm0755194,casting_director,\N,\N
tt9024106,25,nm3365917,production_designer,\N,\N
tt9546624,1,nm3515177,actor,\N,"[""Józek 'Wieza'""]"
tt9546624,2,nm3801587,actor,\N,"[""Tadeusz Zbarski""]"
tt9546624,3,nm8285638,actress,\N,"[""Aleksandra Tubilewicz""]"
tt9546624,4,nm0048121,actor,\N,"[""Stanislaw 'Król' Kaszubski""]"
tt9546624,5,nm0296809,actor,\N,"[""Józef Pilsudski""]"
tt9546624,6,nm1259124,actor,\N,"[""Zlotnicki""]"
tt9546624,7,nm0844371,actor,\N,"[""Zbigniew Dunin Wasowicz""]"
tt9546624,8,nm2252397,actor,\N,"[""Jerzy 'Topór' Kisielnicki""]"
tt9546624,9,nm0194305,actor,\N,"[""'Kucharz'""]"
tt9546624,10,nm2340153,actor,\N,"[""Tadeusz Kasprzycki""]"
tt9546624,11,nm1375125,director,\N,\N
tt9546624,12,nm1375125,writer,\N,\N
tt9546624,13,nm4498147,writer,\N,\N
tt9546624,14,nm0529272,writer,\N,\N
tt9546624,15,nm3752361,writer,\N,\N
tt9546624,16,nm10373864,producer,producer,\N
tt9546624,17,nm3752361,producer,producer,\N
tt9546624,18,nm5720864,composer,composer,\N
tt9546624,19,nm1473866,cinematographer,cinematographer,\N
tt9546624,20,nm0844197,cinematographer,cinematographer,\N
tt9546624,21,nm0866651,cinematographer,cinematographer,\N
tt9546624,22,nm0060549,editor,\N,\N
tt9546624,23,nm0333512,casting_director,\N,\N
tt9546624,24,nm3666139,casting_director,\N,\N
tt9546624,25,nm7085855,production_designer,production_designer,\N
tt9546624,26,nm0804516,production_designer,production_designer,\N
