index,backdrop_path,overview,poster_path,original_language,vote_average,origin_country,parentTconst,title_series,genres,startYear,genres_,voisin1,voisin2,voisin3,voisin4
56,/rulrZar942TxA7vn6OPjOEd7clR.jpg,"When a deadly virus wipes out most of the world's population, a handful of survivors struggle to stay alive.",/4aoLtU9XZ4HT7rlFnc0vnk20pos.jpg,en,7.2,['GB'],tt1258189,Les Survivants,Sci-Fi & Fantasy,2008.0,8,Les Survivants,Deadliest Journeys,Les Routes de l'impossible,Mystère
57,/18ypvPahjmmue1iR4N4YgTBrO8N.jpg,"In a cutthroat world where the life you’re born into decides your success, three aspiring youths are determined to change that perception as they fight for their dreams.",/54yTLS5d4OPOuunzOvHlmP82eIT.jpg,ko,8.209,['KR'],tt12850322,Record of Youth,Drama,2020.0,0,Record of Youth,Zakhm Kari,Mortal Wound,Qing yu nian
58,/joEPlCHbuC3fa2dYxqbrPb2ozYx.jpg,"Wielding a light-up sword through the dark corners of a high school, a nurse with an unusual gift protects students from monsters only she can see.",/uemn2sQ4FsnplGxRGebMmwbgeex.jpg,ko,7.4,['KR'],tt12879522,The School Nurse Files,Sci-Fi & Fantasy,2020.0,8,The School Nurse Files,Invasion,Üç Kiz Kardes,The Search for WondLa
59,/4LZuFMhLivOSO7zuWAQ3RffMnnr.jpg,"Following her father's murder, a revenge-driven woman puts her trust in a powerful crime boss — and enters the police force under his direction.",/l3Bn2jgYndSFvcPpddqMxQXiiCe.jpg,ko,8.243,['KR'],tt12940504,My Name,Crime,2021.0,2,My Name,Vigilante,DENGELER: Biri Olmak,Ma Star
60,/3E1GroTJCRdIYHa5n62GqjmqxQR.jpg,"Lim Ju-kyung is a high school student. Since she was little, she has had a complex about her appearance. To hide her bare face, Ju-kyung always wears make-up. Her excellent make-up skills make her pretty and she hides her bare face in front of others. She gets involved with 2 men; Lee Su-ho and Han Seo-jun.",/sld43SJArZqlnANJabq8R5wdOZk.jpg,ko,8.325,['KR'],tt13274038,True Beauty,Comedy,2020.0,5,True Beauty,Eobiseu,Brassic,The Chosen Granddaughter
62,/n5MXQXuj5RnpZcxvDtO4sgzcKaY.jpg,"At a historic Istanbul hotel, a journalist is unexpectedly thrust into the past and must stop a plot that could change the fate of modern Turkey.",/esrggEWrlpjncn6y4tyHBJ0syLn.jpg,tr,7.7,['TR'],tt13317508,Minuit au Pera Palace,Drama,2022.0,0,Minuit au Pera Palace,Bad Romeo,Kazara Ask,Law School
63,/urKRigdnyltCutcrBzBa7TVnIKd.jpg,"At the age of eight, Park Joo Hyeong left for Italy after being adopted. Now an adult, he is known as Vincenzo Cassano and employed by a Mafia family as a consigliere. Due to warring Mafia factions, he flies to South Korea where he gets involved with lawyer Hong Cha Young. She is the type of attorney who will do anything to win a case. Now back in his motherland, he gives an unrivalled conglomerate a taste of his own medicine—with a side of his own version of justice.",/qbkSS1cTjT4DzIwD44bdhTuYgdT.jpg,ko,8.544,['KR'],tt13433812,Binsenjo,Action & Adventure,2021.0,1,Binsenjo,Alparslan: Büyük Selçuklu,Mehmetçik Kut'ül Amare,Trop
64,/g7l0xDb4abjjfV5ZckMeB2NM755.jpg,"The sharp, witty and enigmatic DI Annika Strandhed, as she heads up a new specialist Marine Homicide Unit (MHU) that is tasked with investigating the unexplained, brutal, and seemingly unfathomable murders.",/8jRoGLyOnTMyLhWajG0ye6KKw0h.jpg,en,7.196,['GB'],tt13643704,Annika,Mystery,2021.0,6,Annika,Last One Standing,Lopez contre Lopez,Love in Translation
65,/lysUnU6V0VfcthDbviuVlIqgHOR.jpg,"World peace is at stake and secret agent Twilight must undergo his most difficult mission yet—pretend to be a family man. Posing as a loving husband and father, he'll infiltrate an elite school to get close to a high-profile politician. He has the perfect cover, except his wife's a deadly assassin and neither knows each other's identity. But someone does: his adopted daughter, who's a telepath!",/3r4LYFuXrg3G8fepysr4xSLWnQL.jpg,ja,8.6,['JP'],tt13706018,SPY×FAMILY,Animation,2022.0,3,SPY×FAMILY,L'Enfant d'une Star,Ma Star,Dandadan
67,/omDV0Luf7wLPaAPwFWBAwdgKJRN.jpg,"Tor is the love child of a mistress and a wealthy hi-so man. After his mother dies from neglect, Tor is forced to live with his father’s family. Abused by his stepmother and stepbrother, he turns to the girl-next-door Mingta who also suffers neglect at the hands of her so-called mother and sister.

One night, while being chased by his stepmother, Tor jumps into a river and is presumed dead though he survives. He is taken under the wing of a sex worker who knew his mother and takes on a new life under the alias Sila. Years later, he returns as a notorious rich pimp with plans to avenge his mother and get revenge for the torture and pain brought to him by his stepmother and stepbrother.",/4BM1dBmP9pc3KSUHhkPuYikXA7m.jpg,th,7.0,['TH'],tt13846080,Hua Jai Sila,Drama,2019.0,0,Hua Jai Sila,Be with You,J'ai menti,La Fortuna
