index,backdrop_path,overview,poster_path,original_language,vote_average,origin_country,parentTconst,ordering,title_series,genres,startYear,voisin1,voisin2,voisin3,voisin4
26182,/PqIW7PA74YBURz5slZkxc0K5Pl.jpg,"When aristocratic Eddie inherits the family estate, he discovers that it's home to an enormous weed empire — and its proprietors aren't going anywhere.",/tw3tzfXaSpmUZIB8ZNqNEGzMBCy.jpg,en,7.894,['GB'],tt13210838,4.0,The Gentlemen,Comedy,2024.0,The Gentlemen,Citoyens clandestins,The Three-Body Problem,Juvenile Justice
26274,/8sdFdIdShfQboyyMNAMxnHGWEEe.jpg,"Mehdi, a qualified robber, and Liana, an apprentice thief, get involved in a turf war between drug dealers, and have to collaborate in order to save their loved ones.",/3E6IPkHH541ii41NKpU5loI4fcr.jpg,fr,7.2,['FR'],tt13278100,4.0,Braqueurs: La série,Crime,2021.0,Braqueurs: La série,Un caballero y una joven dama,Braqueurs,Entre Saisonniers
26275,/8sdFdIdShfQboyyMNAMxnHGWEEe.jpg,"Mehdi, a qualified robber, and Liana, an apprentice thief, get involved in a turf war between drug dealers, and have to collaborate in order to save their loved ones.",/3E6IPkHH541ii41NKpU5loI4fcr.jpg,fr,7.2,['FR'],tt13278100,4.0,Braqueurs,Crime,2021.0,Braqueurs: La série,Un caballero y una joven dama,Braqueurs,Entre Saisonniers
26325,/g84kSk58IOcHML6TpazdYVV6UCG.jpg,"In 1987, bloodied man Soo-ho jumps into a women's university dormitory in Seoul. Yeong-ro, a female student who fell in love with him at a group blind date, tends to his wounds as the dormitory is ensnared in intense surveillance. As Soo-ho's secrets unravel, he must eventually face the conflict between his heart to Yeong-ro and responsibility to his comrades, as well as to his sibling who awaits him in his home country. What will be of their fate?",/3AhTqNJVr1v7Jfplg8Y1YOzzdWE.jpg,ko,8.5,['KR'],tt13304700,4.0,Snowdrop,Drama,2021.0,Snowdrop,Yakhanyeongung,Welcome to Samdalri,Power Book IV: Force
26364,/4Cz7CI71yz2WcMAcKoX3AlxnCHS.jpg,"Idealist Public Prosecutor Selim Kara receives an offer he cannot refuse from the organized crime leader Selçuk Taşkın, whom he sent to prison 8 years ago. Selçuk Taşkın wants to testify in one of Prosecutor Selim's cases and his testimony will destroy the whole criminal organization. However, there is only one condition for this; the personal protection of his son, Akgün Gökalp Taşkın.",/6QV0oC2595tPeloQFnaIZdN1TEx.jpg,tr,8.3,['TR'],tt13322702,4.0,Son Yaz,Drama,2021.0,Son Yaz,Tozkoparan Iskender,The King: Eternal Monarch,"At a Distance, Spring Is Green"
27361,/sO0F9JRq7gTg1V7dZuinZ2jHGy9.jpg,"Follow the exploits of various guests and employees at an exclusive tropical resort over the span of a week as with each passing day, a darker complexity emerges in these picture-perfect travelers, the hotel’s cheerful employees and the idyllic locale itself.",/gH5i3JbnLsyTvcImlofNvXtH3i5.jpg,en,7.623,['US'],tt13406094,4.0,The White Lotus,Comedy,2021.0,The White Lotus,Mellangkollia,Le chemin de l'olivier,SAS Rogue Heroes
27413,/3Pojley5WbyRxQI7bsnJiRSAUCO.jpg,"The Masire brothers rule Johannesburg's criminal underworld, but a supernatural family curse and a tangled web of betrayal threaten to destroy them.",/vSM1FB86gr3QNelkk0jDovN5228.jpg,en,7.0,['ZA'],tt13453828,4.0,Kings of Jo'burg,Crime,2020.0,La Légende de Tang,Kings of Jo'burg,Jeux d'influence,Home
27421,/5nw1DrbpFuXTPARVcLe0PE65663.jpg,"Legacy is a South African telenovela which follows the wealthy Price household, a family at war with itself after the patriarch announces he is stepping down, creating a power vacuum.",/epnfSq33259jPpurPUXOrdrkWGg.jpg,en,8.0,['ZA'],tt13459400,4.0,Legacy,Soap,2020.0,Panchayat,Génération Paname,Legacy,Black Mafia Family
28266,/nXSgPvCYMtFYmZfVEoavJMmm2tC.jpg,"If Iskender, a 12-year-old archer with extraordinary abilities, does not return from 2020 to the time he lived, the course of history will change.",/z1QxafIMhZHQrUC9HDUyOPKIF43.jpg,tr,8.3,['TR'],tt13691134,4.0,Tozkoparan Iskender,Family,2021.0,Son Yaz,Tozkoparan Iskender,The King: Eternal Monarch,"At a Distance, Spring Is Green"
28317,/lysUnU6V0VfcthDbviuVlIqgHOR.jpg,"World peace is at stake and secret agent Twilight must undergo his most difficult mission yet—pretend to be a family man. Posing as a loving husband and father, he'll infiltrate an elite school to get close to a high-profile politician. He has the perfect cover, except his wife's a deadly assassin and neither knows each other's identity. But someone does: his adopted daughter, who's a telepath!",/3r4LYFuXrg3G8fepysr4xSLWnQL.jpg,ja,8.6,['JP'],tt13706018,4.0,SPY×FAMILY,Animation,2022.0,SPY×FAMILY,Shen Yin Wangzuo,Snowdrop,Welcome to Samdalri
28318,/mnCFpbPXSoJVqOJ4t0ShwCrFTCE.jpg,An unfathomable incident introduces a genius engineer to dangerous secrets of the world — and to a woman from the future who's come looking for him.,/xjnBtoMa9JNNL3adNTprAPVLWph.jpg,ko,7.08,['KR'],tt13715448,4.0,Sijipeuseu: The Myth,Sci-Fi & Fantasy,2021.0,Sijipeuseu: The Myth,Anna,Lopez contre Lopez,La Légende de Tang
28467,/kYEmV2zHHohPCLWYEkX07k9fllL.jpg,"What are you willing to do to support your family? If you are no longer a member of the family, do you do the right thing or wait for them to be destroyed?",/a2TufHiEbXVoMSSAGa8cKo5KQvH.jpg,fa,9.0,['IR'],tt13851804,4.0,Siyavash,Drama,2021.0,Siyavash,Siavash,The Empress of Ayodhaya,Dar Nsa
28468,/kYEmV2zHHohPCLWYEkX07k9fllL.jpg,"What are you willing to do to support your family? If you are no longer a member of the family, do you do the right thing or wait for them to be destroyed?",/a2TufHiEbXVoMSSAGa8cKo5KQvH.jpg,fa,9.0,['IR'],tt13851804,4.0,Siavash,Drama,2021.0,Siyavash,Siavash,The Empress of Ayodhaya,Dar Nsa
28642,/aGLAJddCYwKhnGZeJdtOEhBGYsr.jpg,"An unconventional relationship in a world on the cusp of change; a star newsreader and an ambitious reporter join forces in a ruthless 1986 newsroom, as events unfold that will change their lives.",/tW6pFsH04QrinknQKM26wtzLjia.jpg,en,8.0,['AU'],tt13925142,4.0,The Newsreader,Drama,2021.0,The Newsreader,Profession : reporter,Black Mafia Family,Les Invisibles
28643,/aGLAJddCYwKhnGZeJdtOEhBGYsr.jpg,"An unconventional relationship in a world on the cusp of change; a star newsreader and an ambitious reporter join forces in a ruthless 1986 newsroom, as events unfold that will change their lives.",/tW6pFsH04QrinknQKM26wtzLjia.jpg,en,8.0,['AU'],tt13925142,4.0,Profession : reporter,Drama,2021.0,The Newsreader,Profession : reporter,Black Mafia Family,Les Invisibles
29866,/8FKn2nxbWWRC8S4Y5CuBOICyZJy.jpg,"Forced to flee her underground sanctuary for Earth’s surface, Eva discovers a world unlike anything she expected. As she journeys across perilous terrain and unknown civilizations, Eva searches to answer the ultimate question: Is she the last human?",/8kkrmc41lTk6eT2osAMzd4W0cSI.jpg,en,7.523,['US'],tt14076044,4.0,The Search for WondLa,Sci-Fi & Fantasy,2024.0,The Search for WondLa,Burning Flames,Yozakura Family,Twins
30159,/u7OpeS4eckBSR1wFxFTuyy3FjHE.jpg,A road rage incident between two strangers — a failing contractor and an unfulfilled entrepreneur — sparks a feud that brings out their darkest impulses.,/4b4v7RnPhNyPEaVGFarEuo74r8W.jpg,en,7.8,['US'],tt14403178,4.0,Acharnés,Comedy,2023.0,My Happy End,Story of Kunning Palace,Acharnés,Akgwi
30327,/zIMWblj36xRkLHjAwFjZt1crdGZ.jpg,"Follows rookie police officers working in Belfast, a city in which being a frontline response cop comes with unique pressures and dangers.",/m0tIJkSXN0vUTLkYbuLAlskZjZ9.jpg,en,7.5,['GB'],tt14466018,4.0,Blue Lights,Crime,2023.0,Twins,Blue Lights,Burning Flames,Yozakura Family
30404,/s4IPlsWjQ8OZoujBcKK50DcTgbA.jpg,"A coming of age story about young people in their twenties and the problems they face in university. Nam Soo-hyun and Yeon Joo, two boys with contrasting personalities, unexpectedly become friends when they work on a project together.",/34x7p7y2Nbo3Khe49tplJz6AexR.jpg,ko,8.2,['KR'],tt14518430,4.0,"At a Distance, Spring Is Green",Drama,2021.0,"At a Distance, Spring Is Green",Kingdom,La maison de poupée de Gabby,Koi Desu: Yankee-kun to Hakujou Garu
30416,/4DTKH7meyXpgZgKL4ubkEsg5aSk.jpg,An ordinary entrepreneur joins a secret government mission to capture a Korean drug lord operating in South America.,/8ivM3YptVuFgumcZMjCMi28k2EF.jpg,ko,7.8,['KR'],tt14518692,4.0,Narco-Saints,Crime,2022.0,Narco-Saints,Acharnés,My Happy End,Story of Kunning Palace
30511,/q9YMrttdpTLjeyNqDBp14EgMUYc.jpg,"A group of young adults working at a paradisiac resort live an unforgettable summer as they discover love, true friendships and devastating secrets.",/4FsjdxJYhOYxJUp32KqZw9Mn7i2.jpg,pt,7.2,['BR'],tt14655298,4.0,Entre Saisonniers,Drama,2022.0,Entre Saisonniers,Remarriage & Desires,Braqueurs,Braqueurs: La série
30824,/84Z6N0ljUXzOFpyLSOfMUSIj36v.jpg,"The story of a working-class, old-school Latino father who moves in with his modern Gen Z daughter as they rebuild their dysfunctional relationship one argument at a time.",/b9Wi3P36R1p4QV0vyBSIvoQ8qNH.jpg,en,7.133,['US'],tt14852960,4.0,Lopez contre Lopez,Comedy,2022.0,Lopez contre Lopez,Anna,Dhootha,"The Chef, la série"
30889,/5nAikDmnio7SuBFg4KIpC3c50UL.jpg,"Three friends arrive in a seaside town, where they connect with their spiritual selves and suddenly face unresolved trauma from their families' pasts.",/zogTjQRIJsmg8yvIo8gDLtp65th.jpg,tr,7.6,['TR'],tt14899624,4.0,Le chemin de l'olivier,Drama,2022.0,SAS Rogue Heroes,Le chemin de l'olivier,Summer Strike,Les Enquêtes sauvages
